,BlueCars_taken_sum,BlueCars_returned_sum,Utilib_taken_sum,Utilib_returned_sum,Utilib_14_taken_sum,Utilib_14_returned_sum,Slots_freed_sum,Slots_taken_sum
14849,28,31,1,2,2,2,0,0
14850,31,28,2,1,2,1,0,0
14851,45,43,1,1,0,0,0,0
14852,20,22,0,0,1,2,0,0
14853,29,31,0,0,2,1,0,0
14854,22,23,0,0,1,1,0,0
14855,33,33,0,0,1,2,0,0
14856,28,28,0,0,2,2,0,0
14857,39,38,3,3,2,1,0,0
14858,39,36,3,3,2,2,0,0
14859,20,25,2,2,1,1,0,0
14860,20,21,0,0,0,0,0,0
14861,22,22,0,0,0,0,0,0
14862,22,17,2,3,1,2,0,0
14863,23,28,2,1,3,2,0,0
14864,41,32,1,1,1,1,0,0
14865,43,48,0,0,3,3,0,0
14866,22,20,0,2,1,1,0,0
14867,27,33,2,0,2,2,0,0
14868,23,23,0,0,1,1,0,0
