,Cars,Bluecar_counter,Utilib_counter,Utilib_1.4_counter,City,ID,Kind,Geo_point,Postal_code,Public_name,Rental_status,Slots,Station_type,Subscription_status,year,month,day,hour,minute
4590,2,2,0,0,Limeil-BrÃ©vannes,limeilbrevannes-saintjohnperse-20,STATION,"48.7508, 2.473075",94450,Limeil-BrÃ©vannes/Saint John Perse/20,operational,5,station,nonexistent,2018,4,1,4,8
4591,2,2,0,0,Paris,paris-darmesteter-12,STATION,"48.8231521, 2.3753988",75013,Paris/Darmesteter/12,operational,4,station,nonexistent,2018,4,7,6,24
4592,5,5,0,0,Colombes,colombes-finlande-1,STATION,"48.93164, 2.260197",92700,Colombes/Finlande/1,operational,0,station,nonexistent,2018,4,3,1,57
4593,1,1,1,1,Paris,paris-ordener-120,STATION,"48.8932768, 2.3394999",75018,Paris/Ordener/120,operational,1,station,nonexistent,2018,4,7,20,6
4594,0,0,0,0,Paris,paris-charonne-52,STATION,"48.8518536, 2.3982137",75020,Paris/Charonne/52,operational,6,station,nonexistent,2018,4,1,14,2
4595,4,4,0,0,Paris,paris-voltaire-236,STATION,"48.852023, 2.389719",75011,Paris/Voltaire/236,operational,1,station,nonexistent,2018,4,5,13,8
4596,1,1,0,0,Paris,paris-generalkoenig-12,STATION,"48.88112, 2.284095",75017,Paris/KoÃ«nig/12,operational,1,station,nonexistent,2018,4,6,17,12
4597,2,2,0,1,Maisons-Alfort,maisonsalfort-generaldegaulle-42,SPACE,"48.8138166, 2.4212353",94700,Maisons-Alfort/De Gaulle/42,operational,0,full_station,operational,2018,4,8,15,22
4598,4,4,0,0,Paris,paris-provence-35,STATION,"48.874155, 2.338559",75009,Paris/Provence/35,operational,0,station,nonexistent,2018,4,4,16,28
4599,5,5,0,0,Fontenay-aux-Roses,fontenayauxroses-robertmarchand-32,STATION,"48.78798, 2.29074",92260,Fontenay-aux-Roses/Robert Marchand/32,operational,1,station,nonexistent,2018,4,6,17,18
4600,3,3,1,1,Rosny-sous-Bois,rosnysousbois-jeanjaures-5,STATION,"48.87052, 2.486372",93110,Rosny-sous-Bois/Jean JaurÃ¨s/5,operational,0,station,nonexistent,2018,4,2,22,22
4601,1,1,0,0,Paris,paris-malesherbes-113,STATION,"48.8800947, 2.3134453",75008,Paris/Malesherbes/113,operational,2,station,nonexistent,2018,4,6,9,0
4602,6,6,0,0,Yerres,yerres-charlesdegaulle-99,STATION,"48.7164252, 2.4860044",91330,Yerres/Charles-de-Gaulle/99,operational,0,station,nonexistent,2018,4,7,23,50
4603,3,3,0,0,Paris,paris-meurthe-1,STATION,"48.8893057, 2.3835673",75019,Paris/Meurthe/1,operational,3,station,nonexistent,2018,4,3,13,38
4604,0,0,0,0,Paris,paris-tournelle-21,STATION,"48.850032, 2.3544309",75005,Paris/Tournelle/21,operational,3,station,nonexistent,2018,4,1,5,11
4605,5,5,0,1,Champigny-sur-Marne,champignysurmarne-soniadelaunay-17,STATION,"48.8137519, 2.5275887",94500,Champigny-sur-Marne/Sonia Delaunay/17,operational,0,station,nonexistent,2018,4,1,16,2
4606,0,0,0,0,Paris,paris-pouchet-4,STATION,"48.8916817, 2.318781",75017,Paris/Pouchet/4,operational,5,station,nonexistent,2018,4,9,9,58
4607,1,1,0,0,Paris,paris-ledrurollin-88,STATION,"48.8506483, 2.3754501",75012,Paris/Ledru-Rollin/88,operational,4,station,nonexistent,2018,4,6,13,2
4608,3,3,0,0,Paris,paris-clichy-2,STATION,"48.8822728, 2.3395493",75018,Paris/Clichy/2,operational,2,station,nonexistent,2018,4,1,20,50
4609,1,1,0,0,Paris,paris-mademoiselle-67,STATION,"48.8434786, 2.2994811",75015,Paris/Mademoiselle/67,operational,1,station,nonexistent,2018,4,5,12,39
4610,0,0,0,0,Issy-les-Moulineaux,issylesmoulineaux-gallieni-27,STATION,"48.8272976, 2.2678365",92130,Issy-les-Moulineaux/Gallieni/27,operational,5,station,nonexistent,2018,4,6,19,35
4611,0,0,0,0,Limeil-BrÃ©vannes,limeilbrevannes-lavoisier-12,STATION,"48.73963, 2.490184",94450,Limeil-BrÃ©vannes/Lavoisier/12,broken,0,station,nonexistent,2018,4,8,9,6
4612,0,0,0,0,Paris,paris-claudevellefaux-3,STATION,"48.8740623, 2.3703034",75010,Paris/Claude Vellefaux/3,operational,5,station,nonexistent,2018,4,7,2,23
4613,2,2,0,0,Paris,paris-championnet-162,STATION,"48.8948847, 2.3355224",75018,Paris/Championnet/162,operational,3,station,nonexistent,2018,4,4,17,44
4614,2,2,0,0,Paris,paris-perree-18,STATION,"48.86502, 2.360503",75003,Paris/PerrÃ©e/18,operational,1,station,nonexistent,2018,4,6,20,8
4615,1,1,0,0,Paris,paris-flandre-169,SPACE,"48.894, 2.380947",75019,Paris/Flandre/169,operational,3,full_station,broken,2018,4,6,17,38
4616,0,0,0,0,Saint-Ouen,saintouen-fridakahlo-20,PARKING,"48.9135418, 2.329473",93400,Saint-Ouen/Frida Kahlo/20,future,0,station,nonexistent,2018,4,2,19,16
4617,2,2,0,0,Paris,paris-republique-36,STATION,"48.8656694, 2.3721102",75011,Paris/RÃ©publique/36,operational,0,station,nonexistent,2018,4,2,18,52
4618,5,5,0,0,Paris,paris-chateaulandon-24,STATION,"48.8814921, 2.3629571",75010,Paris/ChÃ¢teau Landon/24,operational,0,station,nonexistent,2018,4,5,5,52
4619,2,2,1,0,Paris,paris-tolbiac-189,STATION,"48.8257617, 2.3512073",75013,Paris/Tolbiac/189,operational,2,station,nonexistent,2018,4,7,8,23
4620,1,1,0,1,Paris,paris-marcadet-7,STATION,"48.8903813, 2.3548773",75018,Paris/Marcadet/7,operational,3,station,nonexistent,2018,4,2,0,40
4621,0,0,0,0,Paris,paris-rennesmontparnasse-parking,PARKING,"48.84513, 2.32524",75006,Paris/Rennes Montparnasse/Parking,broken,0,station,nonexistent,2018,4,4,9,0
